# emoji	group	subgroup	name	keywords
🏄🏽	People & Body	person-sport	person surfing: medium skin tone	person surfing: medium skin tone
🏄🏾	People & Body	person-sport	person surfing: medium-dark skin tone	person surfing: medium-dark skin tone
🏄🏿	People & Body	person-sport	person surfing: dark skin tone	person surfing: dark skin tone
🏄‍♂️	People & Body	person-sport	man surfing	man surfing
🏄🏻‍♂️	People & Body	person-sport	man surfing: light skin tone	man surfing: light skin tone
🏄🏼‍♂️	People & Body	person-sport	man surfing: medium-light skin tone	man surfing: medium-light skin tone
🏄🏽‍♂️	People & Body	person-sport	man surfing: medium skin tone	man surfing: medium skin tone
🏄🏾‍♂️	People & Body	person-sport	man surfing: medium-dark skin tone	man surfing: medium-dark skin tone
🏄🏿‍♂️	People & Body	person-sport	man surfing: dark skin tone	man surfing: dark skin tone
🏄‍♀️	People & Body	person-sport	woman surfing	woman surfing
🏄🏻‍♀️	People & Body	person-sport	woman surfing: light skin tone	woman surfing: light skin tone
🏄🏼‍♀️	People & Body	person-sport	woman surfing: medium-light skin tone	woman surfing: medium-light skin tone
🏄🏽‍♀️	People & Body	person-sport	woman surfing: medium skin tone	woman surfing: medium skin tone
🏄🏾‍♀️	People & Body	person-sport	woman surfing: medium-dark skin tone	woman surfing: medium-dark skin tone
🏄🏿‍♀️	People & Body	person-sport	woman surfing: dark skin tone	woman surfing: dark skin tone
🚣	People & Body	person-sport	person rowing boat	person rowing boat,boat,canoe,cruise,fishing,lake,oar,paddle,person,raft,river,row,rowboat,rowing
🚣🏻	People & Body	person-sport	person rowing boat: light skin tone	person rowing boat: light skin tone
🚣🏼	People & Body	person-sport	person rowing boat: medium-light skin tone	person rowing boat: medium-light skin tone
🚣🏽	People & Body	person-sport	person rowing boat: medium skin tone	person rowing boat: medium skin tone
🚣🏾	People & Body	person-sport	person rowing boat: medium-dark skin tone	person rowing boat: medium-dark skin tone
🚣🏿	People & Body	person-sport	person rowing boat: dark skin tone	person rowing boat: dark skin tone
🚣‍♂️	People & Body	person-sport	man rowing boat	man rowing boat
🚣🏻‍♂️	People & Body	person-sport	man rowing boat: light skin tone	man rowing boat: light skin tone
🚣🏼‍♂️	People & Body	person-sport	man rowing boat: medium-light skin tone	man rowing boat: medium-light skin tone
🚣🏽‍♂️	People & Body	person-sport	man rowing boat: medium skin tone	man rowing boat: medium skin tone
🚣🏾‍♂️	People & Body	person-sport	man rowing boat: medium-dark skin tone	man rowing boat: medium-dark skin tone
🚣🏿‍♂️	People & Body	person-sport	man rowing boat: dark skin tone	man rowing boat: dark skin tone
🚣‍♀️	People & Body	person-sport	woman rowing boat	woman rowing boat
🚣🏻‍♀️	People & Body	person-sport	woman rowing boat: light skin tone	woman rowing boat: light skin tone
🚣🏼‍♀️	People & Body	person-sport	woman rowing boat: medium-light skin tone	woman rowing boat: medium-light skin tone
🚣🏽‍♀️	People & Body	person-sport	woman rowing boat: medium skin tone	woman rowing boat: medium skin tone
🚣🏾‍♀️	People & Body	person-sport	woman rowing boat: medium-dark skin tone	woman rowing boat: medium-dark skin tone
🚣🏿‍♀️	People & Body	person-sport	woman rowing boat: dark skin tone	woman rowing boat: dark skin tone
🏊	People & Body	person-sport	person swimming	person swimming,freestyle,person,sport,swim,swimmer,swimming,triathlon
🏊🏻	People & Body	person-sport	person swimming: light skin tone	person swimming: light skin tone
🏊🏼	People & Body	person-sport	person swimming: medium-light skin tone	person swimming: medium-light skin tone
🏊🏽	People & Body	person-sport	person swimming: medium skin tone	person swimming: medium skin tone
🏊🏾	People & Body	person-sport	person swimming: medium-dark skin tone	person swimming: medium-dark skin tone
🏊🏿	People & Body	person-sport	person swimming: dark skin tone	person swimming: dark skin tone
🏊‍♂️	People & Body	person-sport	man swimming	man swimming
🏊🏻‍♂️	People & Body	person-sport	man swimming: light skin tone	man swimming: light skin tone
🏊🏼‍♂️	People & Body	person-sport	man swimming: medium-light skin tone	man swimming: medium-light skin tone
🏊🏽‍♂️	People & Body	person-sport	man swimming: medium skin tone	man swimming: medium skin tone
🏊🏾‍♂️	People & Body	person-sport	man swimming: medium-dark skin tone	man swimming: medium-dark skin tone
🏊🏿‍♂️	People & Body	person-sport	man swimming: dark skin tone	man swimming: dark skin tone
🏊‍♀️	People & Body	person-sport	woman swimming	woman swimming
🏊🏻‍♀️	People & Body	person-sport	woman swimming: light skin tone	woman swimming: light skin tone
🏊🏼‍♀️	People & Body	person-sport	woman swimming: medium-light skin tone	woman swimming: medium-light skin tone
🏊🏽‍♀️	People & Body	person-sport	woman swimming: medium skin tone	woman swimming: medium skin tone
🏊🏾‍♀️	People & Body	person-sport	woman swimming: medium-dark skin tone	woman swimming: medium-dark skin tone
🏊🏿‍♀️	People & Body	person-sport	woman swimming: dark skin tone	woman swimming: dark skin tone
⛹️	People & Body	person-sport	person bouncing ball	person bouncing ball
⛹🏻	People & Body	person-sport	person bouncing ball: light skin tone	person bouncing ball: light skin tone
⛹🏼	People & Body	person-sport	person bouncing ball: medium-light skin tone	person bouncing ball: medium-light skin tone
⛹🏽	People & Body	person-sport	person bouncing ball: medium skin tone	person bouncing ball: medium skin tone
⛹🏾	People & Body	person-sport	person bouncing ball: medium-dark skin tone	person bouncing ball: medium-dark skin tone
⛹🏿	People & Body	person-sport	person bouncing ball: dark skin tone	person bouncing ball: dark skin tone
⛹️‍♂️	People & Body	person-sport	man bouncing ball	man bouncing ball
⛹🏻‍♂️	People & Body	person-sport	man bouncing ball: light skin tone	man bouncing ball: light skin tone
⛹🏼‍♂️	People & Body	person-sport	man bouncing ball: medium-light skin tone	man bouncing ball: medium-light skin tone
⛹🏽‍♂️	People & Body	person-sport	man bouncing ball: medium skin tone	man bouncing ball: medium skin tone
⛹🏾‍♂️	People & Body	person-sport	man bouncing ball: medium-dark skin tone	man bouncing ball: medium-dark skin tone
⛹🏿‍♂️	People & Body	person-sport	man bouncing ball: dark skin tone	man bouncing ball: dark skin tone
⛹️‍♀️	People & Body	person-sport	woman bouncing ball	woman bouncing ball
⛹🏻‍♀️	People & Body	person-sport	woman bouncing ball: light skin tone	woman bouncing ball: light skin tone
⛹🏼‍♀️	People & Body	person-sport	woman bouncing ball: medium-light skin tone	woman bouncing ball: medium-light skin tone
⛹🏽‍♀️	People & Body	person-sport	woman bouncing ball: medium skin tone	woman bouncing ball: medium skin tone
⛹🏾‍♀️	People & Body	person-sport	woman bouncing ball: medium-dark skin tone	woman bouncing ball: medium-dark skin tone
⛹🏿‍♀️	People & Body	person-sport	woman bouncing ball: dark skin tone	woman bouncing ball: dark skin tone
🏋️	People & Body	person-sport	person lifting weights	person lifting weights
🏋🏻	People & Body	person-sport	person lifting weights: light skin tone	person lifting weights: light skin tone
🏋🏼	People & Body	person-sport	person lifting weights: medium-light skin tone	person lifting weights: medium-light skin tone
🏋🏽	People & Body	person-sport	person lifting weights: medium skin tone	person lifting weights: medium skin tone
🏋🏾	People & Body	person-sport	person lifting weights: medium-dark skin tone	person lifting weights: medium-dark skin tone
🏋🏿	People & Body	person-sport	person lifting weights: dark skin tone	person lifting weights: dark skin tone
🏋️‍♂️	People & Body	person-sport	man lifting weights	man lifting weights
🏋🏻‍♂️	People & Body	person-sport	man lifting weights: light skin tone	man lifting weights: light skin tone
🏋🏼‍♂️	People & Body	person-sport	man lifting weights: medium-light skin tone	man lifting weights: medium-light skin tone
🏋🏽‍♂️	People & Body	person-sport	man lifting weights: medium skin tone	man lifting weights: medium skin tone
🏋🏾‍♂️	People & Body	person-sport	man lifting weights: medium-dark skin tone	man lifting weights: medium-dark skin tone
🏋🏿‍♂️	People & Body	person-sport	man lifting weights: dark skin tone	man lifting weights: dark skin tone
🏋️‍♀️	People & Body	person-sport	woman lifting weights	woman lifting weights
🏋🏻‍♀️	People & Body	person-sport	woman lifting weights: light skin tone	woman lifting weights: light skin tone
🏋🏼‍♀️	People & Body	person-sport	woman lifting weights: medium-light skin tone	woman lifting weights: medium-light skin tone
🏋🏽‍♀️	People & Body	person-sport	woman lifting weights: medium skin tone	woman lifting weights: medium skin tone
🏋🏾‍♀️	People & Body	person-sport	woman lifting weights: medium-dark skin tone	woman lifting weights: medium-dark skin tone
🏋🏿‍♀️	People & Body	person-sport	woman lifting weights: dark skin tone	woman lifting weights: dark skin tone
🚴	People & Body	person-sport	person biking	person biking,bicycle,bicyclist,bike,biking,cycle,cyclist,person,riding,sport
🚴🏻	People & Body	person-sport	person biking: light skin tone	person biking: light skin tone
🚴🏼	People & Body	person-sport	person biking: medium-light skin tone	person biking: medium-light skin tone
🚴🏽	People & Body	person-sport	person biking: medium skin tone	person biking: medium skin tone
🚴🏾	People & Body	person-sport	person biking: medium-dark skin tone	person biking: medium-dark skin tone
🚴🏿	People & Body	person-sport	person biking: dark skin tone	person biking: dark skin tone
🚴‍♂️	People & Body	person-sport	man biking	man biking
🚴🏻‍♂️	People & Body	person-sport	man biking: light skin tone	man biking: light skin tone
🚴🏼‍♂️	People & Body	person-sport	man biking: medium-light skin tone	man biking: medium-light skin tone
🚴🏽‍♂️	People & Body	person-sport	man biking: medium skin tone	man biking: medium skin tone
🚴🏾‍♂️	People & Body	person-sport	man biking: medium-dark skin tone	man biking: medium-dark skin tone
🚴🏿‍♂️	People & Body	person-sport	man biking: dark skin tone	man biking: dark skin tone
🚴‍♀️	People & Body	person-sport	woman biking	woman biking
🚴🏻‍♀️	People & Body	person-sport	woman biking: light skin tone	woman biking: light skin tone
